project-01-grpc-service-1,14.48%,748.9MiB / 7.654GiB
project-01-rest-service-1,9.48%,108.3MiB / 7.654GiB
project-01-db-1,132.26%,68.63MiB / 7.654GiB
project-01-graphql-service-1,9.99%,193.4MiB / 7.654GiB
project-01-grpc-service-1,16.60%,778.8MiB / 7.654GiB
project-01-rest-service-1,11.57%,108.8MiB / 7.654GiB
project-01-db-1,151.62%,68.9MiB / 7.654GiB
project-01-graphql-service-1,11.03%,193.9MiB / 7.654GiB
project-01-grpc-service-1,42.38%,798.2MiB / 7.654GiB
project-01-rest-service-1,12.50%,108.6MiB / 7.654GiB
project-01-db-1,383.41%,107.1MiB / 7.654GiB
project-01-graphql-service-1,16.69%,194.1MiB / 7.654GiB
project-01-grpc-service-1,33.40%,825MiB / 7.654GiB
project-01-rest-service-1,20.44%,109.3MiB / 7.654GiB
project-01-db-1,267.10%,106.7MiB / 7.654GiB
project-01-graphql-service-1,12.34%,201.1MiB / 7.654GiB
project-01-grpc-service-1,23.07%,838.4MiB / 7.654GiB
project-01-rest-service-1,16.06%,109.3MiB / 7.654GiB
project-01-db-1,212.73%,107.2MiB / 7.654GiB
project-01-graphql-service-1,14.95%,201.5MiB / 7.654GiB
project-01-grpc-service-1,29.07%,840.4MiB / 7.654GiB
project-01-rest-service-1,17.74%,109.6MiB / 7.654GiB
project-01-db-1,280.24%,108.2MiB / 7.654GiB
project-01-graphql-service-1,19.22%,202.5MiB / 7.654GiB
project-01-grpc-service-1,32.93%,844.1MiB / 7.654GiB
project-01-rest-service-1,22.40%,109.6MiB / 7.654GiB
project-01-db-1,404.69%,143.1MiB / 7.654GiB
project-01-graphql-service-1,21.18%,202.6MiB / 7.654GiB
project-01-grpc-service-1,53.02%,883.3MiB / 7.654GiB
project-01-rest-service-1,82.57%,116.4MiB / 7.654GiB
project-01-db-1,517.27%,182.4MiB / 7.654GiB
project-01-graphql-service-1,1.00%,203.3MiB / 7.654GiB
project-01-grpc-service-1,0.00%,883.4MiB / 7.654GiB
project-01-rest-service-1,1.18%,117.1MiB / 7.654GiB
project-01-db-1,4.60%,123.7MiB / 7.654GiB
project-01-graphql-service-1,1.22%,203.3MiB / 7.654GiB
project-01-grpc-service-1,0.00%,883.4MiB / 7.654GiB
project-01-rest-service-1,1.41%,117.1MiB / 7.654GiB
project-01-db-1,7.22%,123.5MiB / 7.654GiB
project-01-graphql-service-1,1.18%,203.4MiB / 7.654GiB
project-01-grpc-service-1,0.00%,883.3MiB / 7.654GiB
project-01-rest-service-1,0.98%,117.1MiB / 7.654GiB
project-01-db-1,6.50%,123.5MiB / 7.654GiB
project-01-graphql-service-1,1.02%,203.3MiB / 7.654GiB
project-01-grpc-service-1,0.00%,883.3MiB / 7.654GiB
project-01-rest-service-1,0.73%,117.2MiB / 7.654GiB
project-01-db-1,3.93%,123.5MiB / 7.654GiB
project-01-graphql-service-1,1.45%,203.3MiB / 7.654GiB
